"Année";"Pays de résidence";"Droit de cité";"Sexe - total Classe d'âge - total";"Sexe - total 0-17 ans";"Sexe - total 18-64 ans";"Sexe - total 65 ans ou plus";"Homme Classe d'âge - total";"Homme 0-17 ans";"Homme 18-64 ans";"Homme 65 ans ou plus";"Femme Classe d'âge - total";"Femme 0-17 ans";"Femme 18-64 ans";"Femme 65 ans ou plus"
"2019";">> 8427 Mexique";"Droit de cité - total";5275;1107;3183;985;2507;607;1516;384;2768;500;1667;601
"2019";">> 8429 Nicaragua";"Droit de cité - total";253;51;150;52;130;23;80;27;123;28;70;25
"2019";">> 8430 Panama";"Droit de cité - total";916;222;509;185;486;133;249;104;430;89;260;81
"2019";">> 8431 Paraguay";"Droit de cité - total";1407;264;835;308;696;127;414;155;711;137;421;153
"2019";">> 8432 Pérou";"Droit de cité - total";3053;748;1677;628;1452;396;804;252;1601;352;873;376
"2019";">> 8433 Porto Rico";"Droit de cité - total";145;18;89;38;65;7;41;17;80;11;48;21
"2019";">> 8434 Saint-Pierre-et-Miquelon";"Droit de cité - total";3;1;2;0;1;0;1;0;2;1;1;0
"2019";">> 8435 Suriname";"Droit de cité - total";8;0;4;4;1;0;1;0;7;0;3;4
"2019";">> 8436 Trinité-et-Tobago";"Droit de cité - total";99;18;57;24;50;12;30;8;49;6;27;16
"2019";">> 8437 Uruguay";"Droit de cité - total";1039;186;568;285;465;96;265;104;574;90;303;181
"2019";">> 8438 Venezuela";"Droit de cité - total";1022;146;530;346;455;72;233;150;567;74;297;196
"2019";">> 8439 États-Unis";"Droit de cité - total";80935;14502;47961;18472;37265;7428;23127;6710;43670;7074;24834;11762
"2019";">> 8440 Dominique";"Droit de cité - total";19;3;12;4;6;2;3;1;13;1;9;3
"2019";">> 8441 Grenade";"Droit de cité - total";31;2;19;10;16;2;10;4;15;0;9;6
"2019";">> 8442 Antigua-et-Barbuda";"Droit de cité - total";36;1;23;12;15;1;7;7;21;0;16;5
"2019";">> 8443 Sainte-Lucie";"Droit de cité - total";26;6;13;7;13;3;6;4;13;3;7;3
"2019";">> 8444 Saint-Vincent-et-les Grenadines";"Droit de cité - total";10;0;7;3;4;0;3;1;6;0;4;2
